intent,expected_tool
"What's missing to run the emulator e2e on this machine?",doctor
"List the radios plugged in",list_devices
"Show this node's firmware version and identity",device_info
"Who's in the mesh / show the node database",list_nodes
"Read the LoRa config",get_config
"Set the region to EU868",set_config
"Send 'hello mesh' to everyone on the primary channel",send_text
"Reboot the radio",reboot
"Wipe everything including BLE bonds and the identity key",factory_reset
"Get the shareable channel URL",get_channel_url
"What TEXT_MESSAGE_APP packets crossed the wire in the last 2 minutes?",packets_window
"Show the firmware log lines around now",logs_window
"Plot battery/temperature over the last hour",telemetry_timeline
"Collect everything needed to triage the e2e failure that just happened",triage_bundle
"Which PlatformIO boards/envs match esp32s3?",list_boards
"Flash the heltec-v3 env to this port",pio_flash
"Power-cycle the USB hub port the radio is on",uhubctl_cycle
"How do I observe a LazyColumn scroll position in Compose?",android_docs_search
"What's the latest material3 version?",android_version_lookup
"Render the MessageBubble Compose preview to an image",android_render_compose_preview
"Capture the device's OLED screen",capture_screen
